,Web ID,Region of Incident,Reported Date,Reported Year,Reported Month,Number Dead,Minimum Estimated Number of Missing,Total Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Cause of Death,Location Description,Information Source,Location Coordinates,Migration Route,URL,UNSD Geographical Grouping,Source Quality
4649,42932,Central America,8-Apr-16,2016,Apr,1.0,,1,,,1.0,,Unknown,Pima County Jurisdiction,Pima County Office of the Medical Examiner,"31.965203600000, -113.011894500000",Central America to US,http://www.humaneborders.info/app/map.asp,Northern America,5
4650,43190,Africa,8-Apr-16,2016,Apr,5.0,,5,,,,,Extended Sickness,"In the Sahara desert, between Atbara, Sudan and Abu Simbel, Egypt",Mixed Migration Monitoring Mechanism Initiative (4Mi),"21.946470800000, 30.814395500000",,,Northern Africa,2
4651,43191,Africa,8-Apr-16,2016,Apr,7.0,,7,,,,,Extended Sickness,"In Sahara desert near Aswan, Egypt",Mixed Migration Monitoring Mechanism Initiative (4Mi),"23.459686000000, 30.665449400000",,,Northern Africa,2
4652,43192,Central America,8-Apr-16,2016,Apr,1.0,,1,2.0,,1.0,,Murder,"Federal highway El Ceibo-Tenosique, Mexico",La 72,"17.264534900000, -91.001789000000",Central America to US,,Central America,1
4653,42563,Middle East,7-Apr-16,2016,Apr,1.0,,1,,,1.0,,Extended Sickness,Syrian/Turkish border near Ras al-Ayn (Sri Kaneh),Syrian Observatory for Human Rights,"36.848107600000, 40.078686700000",,http://bit.ly/28Nnkxe,Western Asia,4
4654,42930,Central America,7-Apr-16,2016,Apr,2.0,,2,,,2.0,,Unknown,Pima County Jurisdiction,Pima County Office of the Medical Examiner,"31.965203600000, -113.011894500000",Central America to US,http://www.humaneborders.info/app/map.asp,Northern America,5
4655,42931,Central America,7-Apr-16,2016,Apr,1.0,,1,,1.0,,,Hypothermia,Pima County Jurisdiction,Pima County Office of the Medical Examiner,"31.965203600000, -113.011894500000",Central America to US,http://www.humaneborders.info/app/map.asp,Northern America,5
4656,42494,Central America,6-Apr-16,2016,Apr,1.0,,1,,,,,Vehicle Accident,"train tracks near Wameru, Queretaro, Mexico",Noticias de Queretaro,"20.573030600000, -100.209020900000",Central America to US,http://bit.ly/1Un4BYN,Central America,1
4657,42562,Middle East,6-Apr-16,2016,Apr,2.0,,2,,,2.0,,Extended Sickness,Syrian/Turkish border,Syrian Observatory for Human Rights,"36.461479100000, 37.125834900000",,http://bit.ly/28Nnkxe,Western Asia,4
4658,42840,Central America,6-Apr-16,2016,Apr,1.0,,1,,,1.0,,Drowning,"Franklin Canal, near Free Bridge, Ciudad Juarez, Chihuahua, Mexico",Rasa Informa,"31.647388100000, -106.349695800000",Central America to US,http://bit.ly/2pW3vZS,Central America,1
4659,42428,Central America,5-Apr-16,2016,Apr,1.0,,1,,,1.0,,Drowning,"Rio Grande near Nuevo Laredo, Tamaulipas, Mexico",Expreso.press,"27.453141600000, -99.614852500000",Central America to US,http://bit.ly/1XgyMkT,Central America,1
4660,42747,Central America,4-Apr-16,2016,Apr,1.0,,1,,,1.0,,Drowning,"Baby Beach, San Nicholas, Aruba",PanamPost,"12.428105800000, -69.914914600000",,http://bit.ly/2f0bJxv,Central America,1
4661,42525,Europe,1-Apr-16,2016,Apr,1.0,,1,,,1.0,,Vehicle Accident,"In Oxfordshire, England",The Guardian,"51.744362900000, -1.450083900000",,http://bit.ly/1ZYGotY,Northern Europe,1
4662,42928,Central America,1-Apr-16,2016,Apr,1.0,,1,,,1.0,,Unknown,Pima County Jurisdiction,Pima County Office of the Medical Examiner,"31.965203600000, -113.011894500000",Central America to US,http://www.humaneborders.info/app/map.asp,Northern America,5
4663,42929,Central America,1-Apr-16,2016,Apr,1.0,,1,,,1.0,,Unknown,Pima County Jurisdiction,Pima County Office of the Medical Examiner,"31.965203600000, -113.011894500000",Central America to US,http://www.humaneborders.info/app/map.asp,Northern America,5
4664,43189,Central America,1-Apr-16,2016,Apr,1.0,,1,,,1.0,,Vehicle Accident,"El Escopetazo, Chiapas, Mexico",Grupo Beta Ixtepec,"16.748864000000, -92.928110700000",Central America to US,,Central America,4
